background,link
"[20fall.ms.ad小奖][cs@georgetown] - 2020-03-13 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609960&extra=page%3D16%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][stat/biostat@umich] - 2020-03-12 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609949&extra=page%3D17%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][datascience/analytics@ucd] - 2020-03-14 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609328&extra=page%3D17%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][datascience/analytics@wustl] - 2020-03-10 - finance本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609905&extra=page%3D17%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][datascience/analytics@umich] - 2020-03-14 - 统计本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609504&extra=page%3D17%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][cs@nyu.tandon] - 2020-03-14 - ee本科top15,ee研究生top15
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609885&extra=page%3D17%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][ee@uci] - 2020-03-12 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609853&extra=page%3D18%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad小奖][cs@nyu.tandon] - 2020-03-14 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609591&extra=page%3D18%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][cs@neu] - 2020-03-10 - 本科top30,海外研究生
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609933&extra=page%3D18%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][mis@cmu] - 2020-03-14 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609372&extra=page%3D18%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][cs@usc] - 2020-02-25 - 本科top30,cs海外研究生
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609932&extra=page%3D18%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][cs@syracuse] - 2020-01-14 - 计算机科学与技术本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609931&extra=page%3D18%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][cs@ncsu] - 2020-02-13 - 计算机科学与技术本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609930&extra=page%3D18%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][cs@umass] - 2020-03-05 - 计算机科学与技术本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609929&extra=page%3D18%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@buffalo] - 2020-03-10 - 计算机科学与技术本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609928&extra=page%3D18%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][cs@jhu] - 2020-03-14 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609927&extra=page%3D18%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][cs@ufl] - 2020-03-14 - 计算机科学与技术本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609924&extra=page%3D18%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][datascience/analytics@northwestern] - 2020-03-12 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609106&extra=page%3D18%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][ieor@berkeley] - 2020-03-12 - finance本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609910&extra=page%3D18%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad小奖][cs@nyu.tandon] - 2020-03-14 - cs本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609445&extra=page%3D19%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.rej][cs@nyu.tandon] - 2020-03-14 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609906&extra=page%3D19%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][mis@cmu] - 2020-03-13 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609803&extra=page%3D19%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad小奖][cs@nyu-tandon] - 2020-03-14 - cs本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609438&extra=page%3D19%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad小奖][cs@nyu.tandon] - 2020-03-14 - 信息与计算科学本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609579&extra=page%3D19%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][mis@jhu] - 2020-03-04 - 本科top30,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609687&extra=page%3D19%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad小奖][cs@nyu.tandon] - 2020-03-14 - cs本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609767&extra=page%3D19%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][bme@jhu duke等] - 2020-03-13 - 本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=608598&extra=page%3D19%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][me@imperial] - 2019-12-20 - 材料成型及控制工程本科top15,
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=588547&extra=page%3D19%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
"[20fall.ms.ad无奖][ee@duke] - 2020-03-14 - civil engineering本科top15,civil engineering研究生top15
",www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=609847&extra=page%3D19%26filter%3Dsortid%26sortid%3D164%26sortid%3D164
